split,task,model,train_period,validation_period,test_period,k_fraction,selected_rows,actual_positives,selected_positives,base_positive_rate,precision_at_k,recall_at_k,lift_vs_base_rate
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,156,0.1319569974312625,0.2965779467680608,0.11247296322999278,2.2475348222632205
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,149,0.1319569974312625,0.2832699619771863,0.10742609949531362,2.1466839007514094
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,132,0.1319569974312625,0.2509505703422053,0.09516943042537851,1.901760234222725
secondary_pre_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,118,0.1319569974312625,0.22433460076045628,0.08507570295602018,1.700058391199103
secondary_pre_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.05,526,1387,85,0.1319569974312625,0.16159695817490494,0.061283345349675555,1.2246183326434217
secondary_pre_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,317,0.1319569974312625,0.30133079847908745,0.22855082912761354,2.283553008517439
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,308,0.1319569974312625,0.29277566539923955,0.2220620043258832,2.218720273259846
secondary_pre_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,305,0.1319569974312625,0.2899239543726236,0.2198990627253064,2.1971093615073154
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,304,0.1319569974312625,0.2889733840304182,0.2191780821917808,2.1899057242564712
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,295,0.1319569974312625,0.2804182509505703,0.21268925739005046,2.1250729889988786
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,290,0.1319569974312625,0.27566539923954375,0.20908435472242248,2.0890548027446605
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,287,0.1319569974312625,0.27281368821292773,0.2069214131218457,2.0674438909921293
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,272,0.1319569974312625,0.2585551330798479,0.19610670511896178,1.9593893322294746
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,249,0.1319569974312625,0.23669201520912547,0.1795241528478731,1.7937056754600704
secondary_pre_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,233,0.1319569974312625,0.2214828897338403,0.16798846431146358,1.678447479446572
secondary_pre_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.1,1052,1387,169,0.1319569974312625,0.16064638783269963,0.12184571016582552,1.2174146953925782
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,521,0.1319569974312625,0.24774132192106516,0.3756308579668349,1.8774398231523546
secondary_pre_covid_test,attention_pulse_top_k,ML: historical,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,510,0.1319569974312625,0.24251069900142652,0.36770007209805333,1.8378009785176597
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + SNA,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,508,0.1319569974312625,0.24155967665240133,0.36625811103100214,1.8305939158568063
secondary_pre_covid_test,attention_pulse_top_k,ML: HGB all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,503,0.1319569974312625,0.23918212077983833,0.36265320836337417,1.8125762592046724
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + business,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,499,0.1319569974312625,0.23728007608178792,0.3597692862292718,1.7981621338829652
secondary_pre_covid_test,attention_pulse_top_k,ML: all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,498,0.1319569974312625,0.23680456490727533,0.3590483056957462,1.7945586025525386
secondary_pre_covid_test,attention_pulse_top_k,ML: historical + NLP,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,490,0.1319569974312625,0.2330004755111745,0.35328046142754144,1.765730351909124
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic all modalities,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,447,0.1319569974312625,0.21255349500713266,0.32227829848594086,1.6107785047007726
secondary_pre_covid_test,attention_pulse_top_k,ML: Logistic selected top 20,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,445,0.1319569974312625,0.21160247265810747,0.32083633741888967,1.603571442039919
secondary_pre_covid_test,attention_pulse_top_k,Baseline: previous-month pulse rule,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,361,0.1319569974312625,0.17165953399904899,0.2602739726027397,1.300874810284069
secondary_pre_covid_test,attention_pulse_top_k,Baseline: rising recent activity,2015-02 to 2017-12,2018-01 to 2018-12,2019-01 to 2019-12,0.2,2103,1387,329,0.1319569974312625,0.15644317641464575,0.23720259552992068,1.185561807710412
